framecount,velocity,heading,gain_v,gain_h,cumulative tail angle,pt_0,pt_1,pt_2,pt_3,pt_4,pt_5
535,1.1419047000980179e-13,6.1173605431285365,1.0,1.0,1.9611902793233604,[  0 276],[ 45 297],[ 93 310],[142 315],[177 350],[223 368]
536,1.038095181907289e-13,6.088978960930474,1.0,1.0,2.0732515461046264,[  0 276],[ 45 297],[ 93 310],[141 321],[180 351],[223 374]
537,9.437228926429899e-14,6.063664683837753,1.0,1.0,2.0375263863666913,[  0 276],[ 45 297],[ 93 310],[140 326],[183 351],[227 374]
538,8.579299024027181e-14,6.042045326420171,1.0,1.0,2.0375263863666913,[  0 276],[ 45 297],[ 93 310],[140 326],[183 351],[227 374]
539,7.799362749115619e-14,6.024063065057984,1.0,1.0,1.9611902793233604,[  0 276],[ 45 297],[ 93 310],[142 315],[177 350],[223 368]
540,7.09032977192329e-14,6.008346307741019,1.0,1.0,2.0732515461046264,[  0 276],[ 45 297],[ 93 310],[141 321],[180 351],[223 374]
541,6.445754338112082e-14,5.9962172077394555,1.0,1.0,2.074029028706083,[  0 276],[ 45 297],[ 93 310],[141 321],[183 346],[223 374]
542,5.859776671010984e-14,5.987196138484858,1.0,1.0,2.0375263863666913,[  0 276],[ 45 297],[ 93 310],[140 326],[183 351],[227 374]
543,5.3270697009190763e-14,5.981791194317406,1.0,1.0,2.0375263863666913,[  0 276],[ 45 297],[ 93 310],[140 326],[183 351],[227 374]
544,4.84279063719916e-14,5.980290211919741,1.0,1.0,2.0375263863666913,[  0 276],[ 45 297],[ 93 310],[140 326],[183 351],[227 374]
545,4.402536942908327e-14,5.982338285676429,1.0,1.0,2.074029028706083,[  0 276],[ 45 297],[ 93 310],[141 321],[183 346],[223 374]
546,4.002306311734843e-14,5.988172179916554,1.0,1.0,2.074029028706083,[  0 276],[ 45 297],[ 93 310],[141 321],[183 346],[223 374]
547,3.638460283395312e-14,5.997120113699394,1.0,1.0,2.0649927877141767,[  0 276],[ 45 297],[ 93 310],[137 332],[184 346],[224 374]
548,3.3076911667230106e-14,6.0083841376390055,1.0,1.0,2.027926254363761,[  0 276],[ 45 297],[ 93 310],[140 326],[185 345],[226 373]
549,3.0069919697481915e-14,6.019502667284453,1.0,1.0,2.071122117386949,[  0 276],[ 45 297],[ 94 304],[138 326],[183 346],[223 374]
550,2.7336290634074467e-14,6.031307733691538,1.0,1.0,2.027926254363761,[  0 276],[ 45 297],[ 93 310],[140 326],[185 345],[226 373]
551,2.485117330370406e-14,6.04163062318358,1.0,1.0,2.027926254363761,[  0 276],[ 45 297],[ 93 310],[140 326],[185 345],[226 373]
552,2.2591975730640054e-14,6.050384729655455,1.0,1.0,1.9550756696184266,[  0 276],[ 45 297],[ 93 310],[141 321],[180 351],[226 369]
553,2.0538159755127323e-14,6.056719252680651,1.0,1.0,2.0535033339608075,[  0 276],[ 45 297],[ 94 304],[141 320],[180 350],[223 373]
554,1.867105432284302e-14,6.0625313495259325,1.0,1.0,2.070246164444818,[  0 276],[ 45 297],[ 94 304],[138 326],[180 351],[223 374]
555,1.697368574803911e-14,6.067446520092086,1.0,1.0,2.070246164444818,[  0 276],[ 45 297],[ 94 304],[138 326],[180 351],[223 374]
556,1.543062340730828e-14,6.073401982676609,1.0,1.0,2.070246164444818,[  0 276],[ 45 297],[ 94 304],[138 326],[180 351],[223 374]
557,1.4027839461189346e-14,6.078775057094451,1.0,1.0,2.071122117386949,[  0 276],[ 45 297],[ 94 304],[138 326],[183 346],[223 374]
558,1.275258132835395e-14,6.084117793806402,1.0,1.0,2.071122117386949,[  0 276],[ 45 297],[ 94 304],[138 326],[183 346],[223 374]
559,1.1593255753049045e-14,6.089432950785724,1.0,1.0,2.0535033339608075,[  0 276],[ 45 297],[ 94 304],[141 320],[180 350],[223 373]
560,1.0539323411862768e-14,6.095523726057436,1.0,1.0,2.071122117386949,[  0 276],[ 45 297],[ 94 304],[138 326],[183 346],[223 374]
561,9.581203101693425e-15,6.101031756821934,1.0,1.0,2.032446703853068,[  0 276],[ 45 297],[ 94 304],[141 320],[184 345],[225 373]
562,8.710184637903114e-15,6.10547202581439,1.0,1.0,2.0192204362912385,[  0 276],[ 45 297],[ 94 304],[141 320],[186 339],[223 371]
563,7.918349670821013e-15,6.109259007397413,1.0,1.0,1.7882304741099042,[  0 276],[ 45 297],[ 94 298],[142 308],[185 333],[226 361]
564,7.198499700746375e-15,6.109302228214841,1.0,1.0,1.5867956832894625,[  0 276],[ 45 297],[ 94 298],[143 303],[185 328],[228 351]
565,6.544090637042159e-15,6.103195192097814,1.0,1.0,1.4647015008398474,[  0 276],[ 45 297],[ 94 298],[143 297],[185 322],[228 345]
566,5.9491733064019626e-15,6.089334329338703,1.0,1.0,1.2655209223285462,[  0 276],[ 45 297],[ 93 286],[142 290],[185 314],[229 336]
567,5.40833936945633e-15,6.065708434470728,1.0,1.0,1.046368121651432,[  0 276],[ 49 285],[ 98 280],[146 290],[195 298],[236 326]
568,4.9166721540512085e-15,6.030340011871712,1.0,1.0,0.9528161795162617,[  0 276],[ 49 285],[ 98 292],[147 285],[194 299],[238 322]
569,4.469701958228371e-15,5.983526308488323,1.0,1.0,0.830224851571193,[  0 276],[ 49 285],[ 98 292],[146 279],[193 293],[237 316]
570,4.0633654165712465e-15,5.924047069969573,1.0,1.0,0.7139510342945161,[  0 276],[ 45 297],[ 94 292],[142 279],[191 287],[235 310]
571,3.693968560519315e-15,5.852057191042492,1.0,1.0,0.5943373389282012,[  0 276],[ 49 285],[ 98 292],[144 273],[191 287],[237 305]
572,3.3581532368357406e-15,5.767062906807388,1.0,1.0,0.5331009349961282,[  0 276],[ 45 297],[ 93 286],[141 272],[190 279],[234 301]
573,3.0528665789415822e-15,5.670404811121536,1.0,1.0,0.4138557002216837,[  0 276],[ 45 297],[ 94 292],[137 267],[186 274],[230 296]
574,2.7753332535832566e-15,5.560174983674318,1.0,1.0,0.3208547869245136,[  0 276],[ 45 297],[ 93 286],[139 267],[184 286],[233 291]
